ticker,spot,strategy,direction,main_strike,exp,entry,target,stop,contracts,risk,confluence_score,confluence_rating,ivr,error
NVDA,178.67999267578125,BEAR_PUT_SPREAD,BEARISH,175.0,2026-04-24,2.66,6.32,1.32,1,264.0,8,STRONG,41.0,
AAPL,252.6199951171875,BEAR_PUT_SPREAD,BEARISH,250.0,2026-04-24,2.87,6.43,1.43,1,285.0,8,STRONG,43.1,
MSFT,371.0400085449219,BULL_CALL_SPREAD,BULLISH,380.0,2026-04-24,3.5,6.74,1.74,1,348.0,11,A+ SETUP,73.4,
GOOGL,290.92999267578125,BEAR_PUT_SPREAD,BEARISH,285.0,2026-04-24,2.99,6.48,1.49,1,297.0,10,A+ SETUP,88.3,
META,594.8900146484375,BEAR_PUT_SPREAD,BEARISH,585.0,2026-04-24,7.55,16.27,3.77,1,500.0,10,A+ SETUP,58.6,
AMZN,211.7100067138672,BEAR_PUT_SPREAD,BEARISH,210.0,2026-04-24,3.08,6.53,1.53,1,306.0,9,STRONG,60.1,
TSLA,385.95001220703125,BULL_CALL_SPREAD,BULLISH,400.0,2026-04-24,6.66,13.32,3.32,1,500.0,7,STRONG,42.2,
AMD,220.27000427246094,BEAR_PUT_SPREAD,BEARISH,215.0,2026-04-24,4.74,9.86,2.36,1,472.0,9,STRONG,67.4,
CRWD,385.8599853515625,BEAR_PUT_SPREAD,BEARISH,380.0,2026-04-24,7.92,16.45,3.95,1,500.0,10,A+ SETUP,100.0,
PLTR,154.9600067138672,BULL_CALL_SPREAD,BULLISH,165.0,2026-04-24,1.52,3.25,0.75,3,450.0,12,A+ SETUP,69.8,
COIN,181.10000610351562,BULL_CALL_SPREAD,BULLISH,195.0,2026-04-24,5.17,12.57,2.58,1,500.0,12,A+ SETUP,97.4,
NFLX,92.27999877929688,BULL_CALL_SPREAD,BULLISH,96.0,2026-04-24,1.59,3.29,0.79,3,471.0,12,A+ SETUP,83.5,
MU,382.0899963378906,BULL_CALL_SPREAD,BULLISH,405.0,2026-04-24,8.95,21.96,4.46,1,500.0,9,STRONG,81.3,
CRM,181.9600067138672,BULL_CALL_SPREAD,BULLISH,190.0,2026-04-24,2.92,6.45,1.45,1,290.0,10,A+ SETUP,100.0,
MSTR,139.1300048828125,BULL_CALL_SPREAD,BULLISH,150.0,2026-04-24,2.75,6.37,1.36,1,273.0,12,A+ SETUP,71.5,
